Epoch [240/2000], Average Loss: 0.000371, Current_LR:0.0005
Epoch [241/2000], Average Loss: 0.000369, Current_LR:0.0005
Epoch [242/2000], Average Loss: 0.000365, Current_LR:0.0005
Epoch [243/2000], Average Loss: 0.000367, Current_LR:0.0005
Epoch [244/2000], Average Loss: 0.000360, Current_LR:0.0005
Epoch [245/2000], Average Loss: 0.000354, Current_LR:0.0005
Epoch [246/2000], Average Loss: 0.000360, Current_LR:0.0005
Epoch [247/2000], Average Loss: 0.000357, Current_LR:0.0005
Epoch [248/2000], Average Loss: 0.000358, Current_LR:0.0005
Epoch [249/2000], Average Loss: 0.000352, Current_LR:0.0005
Epoch [250/2000], Average Loss: 0.000358, Current_LR:0.0005
Epoch [251/2000], Average Loss: 0.000352, Current_LR:0.0005
Epoch [252/2000], Average Loss: 0.000350, Current_LR:0.0005
Epoch [253/2000], Average Loss: 0.000343, Current_LR:0.0005
Epoch [254/2000], Average Loss: 0.000346, Current_LR:0.0005
Epoch [255/2000], Average Loss: 0.000360, Current_LR:0.0005
Epoch [256/2000], Average Loss: 0.000358, Current_LR:0.0005
Epoch [257/2000], Average Loss: 0.000351, Current_LR:0.0005
Epoch [258/2000], Average Loss: 0.000356, Current_LR:0.0005
Epoch [259/2000], Average Loss: 0.000340, Current_LR:0.0005
Epoch [260/2000], Average Loss: 0.000352, Current_LR:0.0005
Epoch [261/2000], Average Loss: 0.000349, Current_LR:0.0005
Epoch [262/2000], Average Loss: 0.000346, Current_LR:0.0005
Epoch [263/2000], Average Loss: 0.000351, Current_LR:0.0005
Epoch [264/2000], Average Loss: 0.000353, Current_LR:0.0005
Epoch [265/2000], Average Loss: 0.000344, Current_LR:0.0005
Epoch [266/2000], Average Loss: 0.000349, Current_LR:0.0005
Epoch [267/2000], Average Loss: 0.000346, Current_LR:0.0005
Epoch [268/2000], Average Loss: 0.000339, Current_LR:0.0005
Epoch [269/2000], Average Loss: 0.000352, Current_LR:0.0005
Epoch [270/2000], Average Loss: 0.000342, Current_LR:0.0005
Epoch [271/2000], Average Loss: 0.000348, Current_LR:0.0005
Epoch [272/2000], Average Loss: 0.000347, Current_LR:0.0005
Epoch [273/2000], Average Loss: 0.000351, Current_LR:0.0005
Epoch [274/2000], Average Loss: 0.000334, Current_LR:0.0005
Epoch [275/2000], Average Loss: 0.000337, Current_LR:0.0005
Epoch [276/2000], Average Loss: 0.000332, Current_LR:0.0005
Epoch [277/2000], Average Loss: 0.000341, Current_LR:0.0005
Epoch [278/2000], Average Loss: 0.000342, Current_LR:0.0005
Epoch [279/2000], Average Loss: 0.000333, Current_LR:0.0005
Epoch [280/2000], Average Loss: 0.000333, Current_LR:0.0005
Epoch [281/2000], Average Loss: 0.000325, Current_LR:0.0005
Epoch [282/2000], Average Loss: 0.000330, Current_LR:0.0005
Epoch [283/2000], Average Loss: 0.000334, Current_LR:0.0005
Epoch [284/2000], Average Loss: 0.000332, Current_LR:0.0005
Epoch [285/2000], Average Loss: 0.000331, Current_LR:0.0005
Epoch [286/2000], Average Loss: 0.000337, Current_LR:0.0005
Epoch [287/2000], Average Loss: 0.000326, Current_LR:0.0005
Epoch [288/2000], Average Loss: 0.000329, Current_LR:0.0005
Epoch [289/2000], Average Loss: 0.000326, Current_LR:0.0005
Epoch [290/2000], Average Loss: 0.000331, Current_LR:0.0005
Epoch [291/2000], Average Loss: 0.000330, Current_LR:0.0005
Epoch [292/2000], Average Loss: 0.000330, Current_LR:0.0005
Epoch [293/2000], Average Loss: 0.000334, Current_LR:0.0005
Epoch [294/2000], Average Loss: 0.000329, Current_LR:0.0005
Epoch [295/2000], Average Loss: 0.000320, Current_LR:0.0005
Epoch [296/2000], Average Loss: 0.000330, Current_LR:0.0005
Epoch [297/2000], Average Loss: 0.000319, Current_LR:0.0005
Epoch [298/2000], Average Loss: 0.000326, Current_LR:0.0005
Epoch [299/2000], Average Loss: 0.000323, Current_LR:0.0005
Epoch [300/2000], Average Loss: 0.000319, Current_LR:0.0005
Epoch [301/2000], Average Loss: 0.000317, Current_LR:0.0005
Epoch [302/2000], Average Loss: 0.000318, Current_LR:0.0005
Epoch [303/2000], Average Loss: 0.000325, Current_LR:0.0005
Epoch [304/2000], Average Loss: 0.000324, Current_LR:0.0005
Epoch [305/2000], Average Loss: 0.000318, Current_LR:0.0005
Epoch [306/2000], Average Loss: 0.000315, Current_LR:0.0005
Epoch [307/2000], Average Loss: 0.000313, Current_LR:0.0005
Epoch [308/2000], Average Loss: 0.000324, Current_LR:0.0005
Epoch [309/2000], Average Loss: 0.000316, Current_LR:0.0005
Epoch [310/2000], Average Loss: 0.000312, Current_LR:0.0005
Epoch [311/2000], Average Loss: 0.000318, Current_LR:0.0005
Epoch [312/2000], Average Loss: 0.000310, Current_LR:0.0005
Epoch [313/2000], Average Loss: 0.000314, Current_LR:0.0005
Epoch [314/2000], Average Loss: 0.000310, Current_LR:0.0005
Epoch [315/2000], Average Loss: 0.000315, Current_LR:0.0005
Epoch [316/2000], Average Loss: 0.000315, Current_LR:0.0005
Epoch [317/2000], Average Loss: 0.000319, Current_LR:0.0005
Epoch [318/2000], Average Loss: 0.000316, Current_LR:0.0005
Epoch [319/2000], Average Loss: 0.000311, Current_LR:0.0005
Epoch [320/2000], Average Loss: 0.000318, Current_LR:0.0005
Epoch [321/2000], Average Loss: 0.000319, Current_LR:0.0005
Epoch [322/2000], Average Loss: 0.000309, Current_LR:0.0005
Epoch [323/2000], Average Loss: 0.000311, Current_LR:0.0005
Epoch [324/2000], Average Loss: 0.000314, Current_LR:0.0005
