Experiment name: EXP_2_1
Epoch [172/1000], Average Loss: 0.000404, Current_LR:0.0005
Epoch [173/1000], Average Loss: 0.000382, Current_LR:0.0005
Epoch [174/1000], Average Loss: 0.000397, Current_LR:0.0005
Epoch [175/1000], Average Loss: 0.000403, Current_LR:0.0005
Epoch [176/1000], Average Loss: 0.000374, Current_LR:0.0005
Epoch [177/1000], Average Loss: 0.000395, Current_LR:0.0005
Epoch [178/1000], Average Loss: 0.000390, Current_LR:0.0005
Epoch [179/1000], Average Loss: 0.000390, Current_LR:0.0005
Epoch [180/1000], Average Loss: 0.000377, Current_LR:0.0005
Epoch [181/1000], Average Loss: 0.000370, Current_LR:0.0005
Epoch [182/1000], Average Loss: 0.000381, Current_LR:0.0005
Epoch [183/1000], Average Loss: 0.000388, Current_LR:0.0005
Epoch [184/1000], Average Loss: 0.000365, Current_LR:0.0005
Epoch [185/1000], Average Loss: 0.000387, Current_LR:0.0005
Epoch [186/1000], Average Loss: 0.000371, Current_LR:0.0005
Epoch [187/1000], Average Loss: 0.000355, Current_LR:0.0005
Epoch [188/1000], Average Loss: 0.000355, Current_LR:0.0005
Epoch [189/1000], Average Loss: 0.000375, Current_LR:0.0005
Epoch [190/1000], Average Loss: 0.000360, Current_LR:0.0005
Epoch [191/1000], Average Loss: 0.000358, Current_LR:0.0005
Epoch [192/1000], Average Loss: 0.000363, Current_LR:0.0005
Epoch [193/1000], Average Loss: 0.000359, Current_LR:0.0005
Epoch [194/1000], Average Loss: 0.000360, Current_LR:0.0005
Epoch [195/1000], Average Loss: 0.000362, Current_LR:0.0005
Epoch [196/1000], Average Loss: 0.000346, Current_LR:0.0005
Epoch [197/1000], Average Loss: 0.000352, Current_LR:0.0005
Epoch [198/1000], Average Loss: 0.000339, Current_LR:0.0005
Epoch [199/1000], Average Loss: 0.000334, Current_LR:0.0005
Epoch [200/1000], Average Loss: 0.000344, Current_LR:0.0005
Epoch [201/1000], Average Loss: 0.000330, Current_LR:0.0005
Epoch [202/1000], Average Loss: 0.000345, Current_LR:0.0005
Epoch [203/1000], Average Loss: 0.000347, Current_LR:0.0005
